WaterworksName;TotalFilters;MaxTypicalFlow;AverageFilterArea;AverageTypicalRunVolume;AverageBackwashVolume;PrimaryTrigger;AverageTotalFilterDepth;OverallFilterGrainSizeMin;OverallFilterGrainSizeMax;AverageFilterBedVolume;FilterExploitation;AerationType;OxygenFactor;Stage1HLR;TotalEBCT;Footprint;SumOfld_layer;UniformityCoefficient;UFRV;BW%;HLR_BW;TankCapacity;TankExploitation;GravityPressureMixed;Stages;AbstractedVolume
Rugballegård Vandværk;8;215;11,34114919;63000;16,5;Time;310;0,8;8;35,1575625;56,81634278;Pure oxygen injection;1,706666667;4,739378618;78,5;30,0158843;2593,333246;;529,0469155;1,186828262;30,42019764;32,74524591;13,22033898;Pressure;Double;1070079
Ryslinge Vandværk;2;52,4;12;2000;34;Volume;170;;;20,4;27,91400885;Bottom aeration;2,033333333;2,183333333;46,72;187,3068398;;;166,6666667;1,699809571;;19,14275903;;Gravity;Single;128132
Skindermarkens Vandværk;13;137;10;6384,615385;35,07692308;Volume;87;0,9;60;8,7;86,38702796;Bottom aeration;1,82;;48,77;30,2051496;324;2,086;;1,162095321;60;10,13939742;;Gravity;Double;1036748
Smålyngsværket;8;110;14,19000053;10850;50;Volume;104;2;5;14,75760056;90,124533;Cascade;2,04;1,937984423;64,4;62,41519312;360;;246,652563;0,4272028;17,61804021;10,08705265;10,39426523;Gravity;Double;868440
Stautrupværket;10;702,9;14,9725008;2492,952329;43,6;Time;80;;;11,97800064;36,94444932;Bottom aeration;1,906666667;4,694606528;10,22;78,03957306;;3,491;166,5020668;1,748930354;44,01402336;11,25605158;25;Gravity;Single;2274819
Støvring Vandværk;3;63,53;1,327322799;657,5342466;5;Time;130;0,5;5;1,725519638;64,68737669;Air injection;2,06;15,95442095;4,89;8,352477333;1020,833332;;495,3838261;0,761111111;;21,9;12,07729469;Pressure;Single;360000
Sydværket - Viborg;4;125;5,292399883;3000;45,9;Volume;155;1,2;16;8,203219819;54,61488584;Bottom aeration;2,093333333;5,904693653;15,75;41,37257033;1031,249964;1,452;566,8505907;1,530015902;68,02207088;24,16923481;;Gravity;Single;598033
Søndre Vandværk  - Vejle;4;150;14,03999996;2400;41,7;Volume;150;1,4;55;21,05999994;60,48295282;Bottom aeration;2,133333333;2,670940178;33,7;70,6640862;746,6071514;1,747;170,9401714;1,737536269;35,61253571;2,755597386;5,376344086;Gravity;Single;794746
Søndre Vandværk - Holbæk;6;;11,95999908;8000;18;Time;90;;;10,76399918;;Cascade;1,8;;;68,79958286;;;250,8361396;1,725934473;;15,31522081;;Gravity;Double;571980
Søndre Vandværk - Kolding;2;100;15,88140106;3400;50;Volume;130;2;64;20,64582138;64,84965753;Bottom aeration;1,98;3,148336838;24,77;55,912256;480,2083333;2,056;214,086905;1,47055976;31,48336838;13,87825371;5,263157895;Gravity;Single;568083
Tinglev Vandværk;2;59,8;10,17875966;4500;20;Volume;;;;;64,59774591;Air injection;1,786666667;5,874979075;;31,01994191;;;294,7313917;1,066803785;23,57851134;13,46123158;19,40298507;Pressure;Double;338394
Tolne;12;430;14,84999943;3900;;Volume;85;0,8;5;12,62249951;35,49248699;Inka;2,28;2,413019173;21,14;96,46296657;533,3333228;;262,6262727;;30,30303147;26,20928081;;Gravity;Single;1336931
Truelsbjergværket;6;379;8,946175955;11000;55,5;Volume;249;0,5;5;22,27597813;57,35704992;Pure oxygen injection;1,306666667;14,12148989;21,16;12,08198729;1091,485527;1,981;614,7878186;1,345445017;30,18049291;9,200342177;19,78021978;Pressure;Double;1904277
Ubby Vandværk;5;27,6;5,74396019;2110;12,4;Waterlevel above filter;85;0,8;35;4,882366161;57,73236384;Cascade;1,9;4,259258933;53,065;47,42875072;94,11111111;;84,87653671;2,230214281;23,91975126;12,55167177;7,368421053;Gravity;Double;139583
Udsholt Vandværk;4;120;4,908738521;3250;15;Volume;;0,8;4,5;;31,44149543;Passive plate aerator;2,133333333;12,22309963;;27,10692327;;;509,2958179;0,5999764;30,55774907;38,4311661;;Pressure;Double;330513
Ulvskovværket;2;136,7;;2500;;Volume;190;;;;52,86498782;Pure oxygen injection;1,646666667;;;;;;;;;6,918841047;33,59621451;Pressure;Single;633054
Vandværk Nord - Greve;5;173,4;;9500;7;Volume;;;;;82,69902777;Pure oxygen injection;1,66;;;;;;;0,073715257;;21,61783495;27,83018868;Pressure;Single;1256185
Vejers Strand Vandværk;6;;4,908738521;600;;Volume;;;;;;Passive plate aerator;1,906666667;;;152,6507263;;;122,2309963;;;;;Pressure;Double;114042
Vejgaard Vandværk;4;;2,26980082;840;8,4;Volume;;;;;;Bottom aeration;1,62;;;16,96768247;;;370,0765251;0,999905934;28,63687397;13,14928339;38,11881188;Pressure;Single;499647
Vester Skerninge Vandværk;4;74;2,544689915;750;12;Volume;;;;;51,0267802;Air injection;2,36;14,54008199;;17,55933408;;;196,4875945;;39,29751889;25,15902;12,5;Pressure;Double;330776
Vestre Vandværk - Herning;8;;24,39999962;5700;92;Volume;;;;;;Cascade;2,2;;;111,4281163;;;180,3278717;12,77549558;29,50819718;23,5328356;;Gravity;Double;893390
Vilstrup Vandværk;4;81,08;7,75;3360;15,6;Time;;;;;25,57933649;Cascade;2,1;2,615483871;;76,76364474;;;433,5483871;1,791061207;;96,4332893;8,592964824;Gravity;Single;181680
Værket ved Regnemark;16;1426;47,94000244;;110;Mix;142;0,8;150;60,68660217;91,69864775;Cascade;1,546666667;5,242647059;40,86;24,10663642;90,80952381;;;0,178440869;;9,176958954;39,68253968;Gravity;Double;11454775
Værket ved Søndersø;20;1407,29;10,17875966;4500;57;Volume;190;0,8;8;19,33964335;89,40561981;Passive plate aerator;2,133333333;6,912875671;16,49;22,05080027;1708,09523;1,625;442,0970876;1,236821572;51,08677456;6,040392676;;Pressure;Single;11021800
Østerbyværket;6;250;14,75249958;2331,50137;51,57;Time;170;1,4;4;25,07924929;19,33159817;Bottom aeration;1,673333333;2,824380129;36,11;209,0763873;842,8571538;1,85;158,0411073;4,44607688;30,36773515;22,36752472;45,83333333;Gravity;Single;423362
Østre Vandværk - Herning;12;;37,43740082;4400;134;Volume;;;;;;Cascade;2,2;;;152,5139698;;;93,48939626;35,38601546;32,05350729;;;Gravity;Double;1521895
Østrup Skov Vandværk;5;329,92;17;2684;45;Time;;;;;24,64361777;Cascade;2,113333333;3,881411765;;117,1311952;;;157,8823529;1,647232265;;;36,34513573;Gravity;Single;712225
